ID,time,ra,dec,x,y,a,b,cflux,cpeak
ZTF21absbwyz,59249.51119210012,259.4127855,32.7042771,24.490226440336492,23.93975775059578,0.7790728807449341,0.49990415573120117,318.58099365234375,63.455589294433594
ZTF21absbwyz,59253.511354200076,259.4127461,32.70432,23.90072019817106,23.65927064033472,0.7273914217948914,0.6430835127830505,347.0641784667969,66.06599426269531
ZTF21absbwyz,59256.4302662001,259.4128555,32.7042286,23.925566563564146,24.286411710830677,0.7119240760803223,0.6673315167427063,330.4066162109375,66.41313171386719
ZTF21absbwyz,59264.53618060006,259.4127816,32.704311,24.283559698993905,23.74194001748906,0.9252158999443054,0.8325628042221069,646.0511474609375,87.84825897216797
ZTF21absbwyz,59267.41320599988,259.4125067,32.7044456,24.407791568247905,23.80536945852626,0.7603412866592407,0.4414433240890503,171.78369140625,39.07781982421875
ZTF21absbwyz,59269.52387729986,259.4127991,32.7043135,23.903800149138412,23.73319712455479,0.8502762317657471,0.8251345753669739,470.1484069824219,68.56477355957031
ZTF21absbwyz,59272.49855320016,259.412806,32.7043919,23.59249583784928,24.20969491953814,0.7182642817497253,0.4556453824043274,270.70355224609375,67.20609283447266
ZTF21absbwyz,59280.45020829979,259.4128025,32.7043427,23.69304304783707,24.049969623993093,0.9729915857315063,0.7298991680145264,457.35919189453125,66.76380157470703
ZTF21absbwyz,59291.464629599825,259.4127467,32.7043,23.42879533027852,24.444791286731274,1.1222950220108032,1.0251318216323853,899.618408203125,109.86668395996094
ZTF21absbwyz,59297.42649309989,259.4127649,32.7042928,23.84672138559332,23.564468505128414,1.1350716352462769,0.9194952249526978,844.5806884765625,87.33850860595703
ZTF21absbwyz,59301.406018500216,259.4128352,32.7043298,23.982167214009973,24.05346821693031,0.7902565598487854,0.7763923406600952,548.8975219726562,81.804931640625
ZTF21absbwyz,59308.49659720017,259.412739,32.7043348,23.442898029647903,24.337495777090332,1.0545196533203125,0.9275285601615906,798.005126953125,98.26576232910156
ZTF21absbwyz,59312.40282410011,259.4127417,32.7042841,24.268125723188085,24.668161208145772,1.134932518005371,1.0598713159561157,1076.91015625,108.74833679199219
ZTF21absbwyz,59314.45776619995,259.4127379,32.7043339,24.42264648472103,24.42484270949182,1.040860652923584,0.9783100485801697,890.5442504882812,112.0510025024414
ZTF21absbwyz,59319.39579859981,259.4128058,32.7043693,23.79098066078976,24.23465651340689,1.41020667552948,1.1417133808135986,890.2320556640625,66.6651382446289
ZTF21absbwyz,59322.277708299924,259.4127736,32.7042791,23.49692837876584,23.746546057688242,0.9504091739654541,0.9024877548217773,718.6561279296875,86.31746673583984
ZTF21absbwyz,59324.34236110002,259.4127503,32.7042947,24.172815908673144,24.033796523907455,1.047176718711853,0.9876239895820618,772.9951171875,93.86653137207031
ZTF21absbwyz,59328.3093634001,259.4127707,32.7043226,24.185964326810687,23.84136364595629,0.7837266325950623,0.6731167435646057,423.6978759765625,76.13583374023438
ZTF21absbwyz,59336.37241900014,259.4127437,32.7043047,23.595734750798826,23.665114517960887,1.1409670114517212,1.0093222856521606,1096.88623046875,116.76213836669922
ZTF21absbwyz,59339.34135420015,259.4127407,32.7043517,24.327141445835068,24.332633924874155,1.078322172164917,0.9455868005752563,1130.5135498046875,142.4334716796875
