ID,time,ra,dec,x,y,a,b,cflux,cpeak
ZTF21absbwyz,59488.429560199846,67.5921263,38.8252909,24.404755035652425,23.995311268983826,0.9414566159248352,0.7587839961051941,1041.9781494140625,159.03744506835938
ZTF21absbwyz,59488.43003469985,67.592103,38.825298,23.6194629761992,24.295573262384178,0.9123005867004395,0.8502504229545593,1046.40478515625,144.00070190429688
ZTF21absbwyz,59496.41010419978,67.5921179,38.8252852,24.116302355415822,24.073613630474217,1.1884877681732178,1.1070634126663208,4079.46044921875,429.2702941894531
ZTF21absbwyz,59498.36636570003,67.592106,38.825296,23.945990751056915,24.68031118784243,1.1209436655044556,1.0367306470870972,4415.09814453125,494.4496154785156
ZTF21absbwyz,59498.389826400205,67.5921072,38.8253002,24.328249491309933,24.352754647845064,1.0479413270950317,1.0367457866668701,4561.34814453125,556.0977172851562
ZTF21absbwyz,59502.49760420015,67.5921339,38.8252852,24.288505019712865,24.100712535664908,1.429244041442871,1.2454259395599365,4412.71728515625,318.36651611328125
ZTF21absbwyz,59502.498078700155,67.5920904,38.8252729,24.166263600323624,24.463512701036862,1.314450740814209,1.1812139749526978,4329.33154296875,381.4329528808594
ZTF21absbwyz,59504.468275499996,67.5921025,38.8253026,24.57575102069681,24.526895404555727,1.1793537139892578,1.0271029472351074,4684.7783203125,523.1072998046875
ZTF21absbwyz,59504.46921300003,67.5920992,38.8253031,23.828256134475108,24.548538905936322,1.0820682048797607,0.9960130453109741,4704.69091796875,603.7660522460938
ZTF21absbwyz,59517.3435531999,67.5921026,38.8252963,23.62999454633298,24.215228212318607,0.9750416278839111,0.9343376159667969,2329.527587890625,323.1317138671875
ZTF21absbwyz,59518.32753469981,67.592099,38.8252868,24.437506271253028,24.151566846018678,1.0359171628952026,0.9371857643127441,2270.112548828125,289.94232177734375
ZTF21absbwyz,59521.37010420021,67.5920974,38.8252967,24.113819227837876,24.32432608675756,1.0544030666351318,0.9838014841079712,2040.6661376953125,253.40072631835938
ZTF21absbwyz,59521.37104169978,67.5921314,38.8252889,23.75736795254959,24.210266138665432,1.0658574104309082,0.9697331190109253,2063.9814453125,257.1889343261719
ZTF21absbwyz,59523.259606500156,67.592089,38.8252929,24.274558289418735,24.46528906512547,1.074241042137146,0.9294731616973877,1945.8739013671875,246.49197387695312
ZTF21absbwyz,59523.27890049992,67.5921187,38.8252941,23.51049843139878,23.862817056864113,0.9640865325927734,0.9127490520477295,1957.298583984375,251.15774536132812
ZTF21absbwyz,59525.30726849986,67.5921166,38.825289,24.42624225703841,24.006122759205915,0.9550641179084778,0.9025225043296814,1937.125,267.3486022949219
ZTF21absbwyz,59525.307743099984,67.5921025,38.8252981,24.058543039215763,24.350366328514973,1.029646873474121,0.9118785262107849,1977.4942626953125,260.3109436035156
ZTF21absbwyz,59527.35192129994,67.5920963,38.8253029,23.819470280297445,24.20865593534118,0.8556097745895386,0.7982883453369141,899.98388671875,143.1077117919922
ZTF21absbwyz,59530.35340279993,67.5920667,38.8252698,23.58968670023763,24.323367364735997,1.0411522388458252,0.906000554561615,1235.661376953125,135.0612335205078
ZTF21absbwyz,59530.36557869986,67.5921037,38.8252884,23.923374783938495,24.27925607665625,1.0351061820983887,0.9388387799263,1348.323486328125,161.654541015625
ZTF21absbwyz,59532.344143500086,67.5920907,38.8252824,24.25020795614088,23.89360783599399,0.9385592937469482,0.789921760559082,1192.032470703125,179.29684448242188
ZTF21absbwyz,59532.423819399904,67.5921261,38.8253,23.561690820929858,23.792616603110904,0.9431109428405762,0.9201766848564148,1111.8819580078125,137.46435546875
ZTF21absbwyz,59540.32811339991,67.5921105,38.8252256,23.695438061482676,23.983228720126917,0.7296199202537537,0.6729812026023865,372.76483154296875,66.90571594238281
ZTF21abrgbex,59489.47789350012,119.9959256,-0.1530456,23.895015452014206,23.58511927965419,1.0022705793380737,0.9256138801574707,1485.251953125,173.17906188964844
ZTF21abrgbex,59496.477314800024,119.9959191,-0.1530362,24.32993938113085,24.15552339942735,0.8975235223770142,0.6815852522850037,575.7216796875,86.16303253173828
ZTF21abrgbex,59509.44465279998,119.9958624,-0.1529353,23.522946104318063,24.01548769334639,0.7683709263801575,0.4994730055332184,481.8426513671875,103.39112854003906
ZTF21abrgbex,59511.50868060021,119.9958885,-0.1529785,23.59260339442291,23.80256958788539,0.7171775698661804,0.45917123556137085,347.0838623046875,83.8780517578125
ZTF21abrgbex,59532.43988429988,119.9959565,-0.153177,24.15927701574455,23.868800358642446,0.8178049325942993,0.6605315804481506,159.258056640625,26.878000259399414
ZTF18abbkkdd,58526.20424770005,94.0677124,14.0075614,23.69273543775613,24.001357104746347,0.724783182144165,0.6782090663909912,348.67352294921875,62.06686019897461
ZTF18abbkkdd,58586.13618060015,94.0675815,14.0075248,24.050674174571103,24.168639474794748,0.9112042188644409,0.7269832491874695,373.2218322753906,58.930294036865234
ZTF18abbkkdd,58799.35129630007,94.0676879,14.0075799,23.43795587628032,23.678564172505983,0.951084554195404,0.8440098762512207,716.864013671875,91.95771026611328
ZTF18abbkkdd,59233.24427080015,94.0676509,14.0075385,24.489907882925273,24.545727125581198,1.1561334133148193,1.0806206464767456,1318.5042724609375,137.21978759765625
